中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,1024 Mbps,131072 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,52 ms,422 Mbps,54067 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,688 Mbps,88064 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,52 ms,413 Mbps,52940 kB/s
129.146.7.98,443,2a09:bac5:60eb:1846::26b:6b,US,Los Angeles,隧道,52 ms,88 Mbps,11366 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,75 ms,76 Mbps,9763 kB/s
35.197.23.75,443,34.19.58.219,US,Seattle,隧道,61 ms,251 Mbps,32153 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,54 ms,424 Mbps,54272 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,52 ms,48 Mbps,6223 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,57 ms,379 Mbps,48537 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,204 Mbps,26112 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,363 Mbps,46489 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,72 ms,34 Mbps,4364 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,21 ms,840 Mbps,107520 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,54 ms,318 Mbps,40755 kB/s
34.82.76.253,443,34.145.7.247,US,Seattle,隧道,50 ms,436 Mbps,55910 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,118 ms,359 Mbps,45977 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,36 ms,67 Mbps,8668 kB/s
35.230.79.26,443,34.19.58.219,US,Seattle,隧道,56 ms,401 Mbps,51404 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,43 Mbps,5540 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,52 ms,105 Mbps,13516 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,106 ms,92 Mbps,11776 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,364 Mbps,46694 kB/s
129.146.220.190,443,129.146.220.190,US,Los Angeles,中转,63 ms,79 Mbps,10137 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,197 Mbps,25292 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,199 ms,41 Mbps,5277 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,104 ms,200 Mbps,25702 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,115 Mbps,14745 kB/s
